index,업태구분명,사업장명,소재지전체주소,좌표정보(x),좌표정보(y),인허가일자,시설총규모
10050,기타,소셜하우스,강원특별자치도 춘천시 효자동 758-12,265206.620664598,486450.709828917,2022-01-24,51.93
10051,정종/대포집/소주방,토방,강원특별자치도 춘천시 후평동 832-10,266122.94641328,485959.276487485,2017-03-23,62.52
10052,한식,회양횟집셋째네,강원특별자치도 춘천시 퇴계동 1182-6,263687.93754478,484941.798756186,2018-01-30,181.5
10053,기타,전상철갈비탕집,강원특별자치도 춘천시 석사동 909-1,265921.768005822,483350.301960699,2023-06-02,74.5
10054,한식,새들의천국,강원특별자치도 춘천시 서면 서상리 856,256792.748576791,492945.501668159,1997-09-09,85.33
10055,중국식,중화요리 궁,강원특별자치도 춘천시 우두동 410-4,264598.250341112,488851.619667931,1979-04-07,0.0
10056,한식,시밀집,강원특별자치도 춘천시 동면 감정리 271-1,269798.482279932,489165.569128337,1998-11-03,78.69
10057,호프/통닭,하늘정원,강원특별자치도 춘천시 남산면 강촌리 432-21,253576.337811437,477104.485247628,1996-04-30,59.79
10058,식육(숯불구이),우리갈매기살,강원특별자치도 춘천시 후평동 858-5,265170.533514437,486889.13517373,1999-05-14,61.23
10059,한식,남촌막국수,강원특별자치도 춘천시 근화동 796-6,263550.247334405,488026.703641694,1988-07-28,61.64
10060,한식,감자골옹심이,강원특별자치도 춘천시 효자동 696-7,264087.120409036,485150.476071752,1996-11-20,71.26
10061,감성주점,네버네버,강원특별자치도 춘천시 효자동 629-3,265399.758173661,485927.972261273,2001-10-13,229.89
10062,호프/통닭,남이섬포시즌,강원특별자치도 춘천시 남산면 방하리 386-5,247349.071633065,475115.910025842,2001-03-28,184.49
10063,탕류(보신용),조부자매운순대가장학점,강원특별자치도 춘천시 후평동 753-13,266100.975,487755.955,2014-10-06,90.09
10064,식육(숯불구이),춘천삼겹살,강원특별자치도 춘천시 퇴계동 961-12,264618.436080474,484426.409479688,2014-10-07,90.22
10065,기타,가인,강원특별자치도 춘천시 후평동 686-25,265447.048325712,486733.57051013,2014-10-07,39.96
10066,한식,박사마을닭갈비막국수,강원특별자치도 춘천시 서면 금산리 641,261779.264330152,489690.366561819,2014-10-08,196.0
10067,한식,바운스,강원특별자치도 춘천시 동내면 거두리 1022-5,266616.121075639,484231.838951196,2014-10-08,66.56
